collectedAt,content_data_employeeCount,content_entityName,recordType,schemaVersion,source_name,source_url
2026-08-11T16:20:57.710166,6,Twine,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/twine
2026-08-11T16:20:57.710171,2,Elythea,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/elythea
2026-08-11T16:20:57.710177,3,Ora AI,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/ora-ai
2026-08-11T16:20:57.710182,3,Automorphic,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/automorphic
2026-08-11T16:20:57.710188,18,Numen,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/numen
2026-08-11T16:20:57.710193,18,Accend,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/accend
2026-08-11T16:20:57.710198,2,Baserun,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/baserun
2026-08-11T16:20:57.710204,40,Casca,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/casca
2026-08-11T16:20:57.710209,20,Bolto,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/bolto
2026-08-11T16:20:57.710214,3,sizeless,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/sizeless
2026-08-11T16:20:57.710220,2,Mandel AI,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/mandel-ai
2026-08-11T16:20:57.710225,8,Silimate,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/silimate
2026-08-11T16:20:57.710230,10,Alguna,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/alguna
2026-08-11T16:20:57.710236,2,Inconvo,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/inconvo
2026-08-11T16:20:57.710241,2,Shasta Health,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/shasta-health
2026-08-11T16:20:57.710246,6,Cair Health,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/cair-health
2026-08-11T16:20:57.710252,6,Constructable,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/constructable
2026-08-11T16:20:57.710257,30,VectorShift,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/vectorshift
2026-08-11T16:20:57.710263,2,Obento Health,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/obento-health
2026-08-11T16:20:57.710268,2,DisputeNinja,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/disputeninja
2026-08-11T16:20:57.710273,2,Repaint,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/repaint
2026-08-11T16:20:57.710288,105,Campfire,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/campfire-2
2026-08-11T16:20:57.710294,6,MediSearch,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/medisearch
2026-08-11T16:20:57.710300,21,Strada,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/strada
2026-08-11T16:20:57.710305,5,Sola,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/sola
2026-08-11T16:20:57.710310,3,Wattson Health,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/wattson-health
2026-08-11T16:20:57.710316,4,Gleam,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/gleam
2026-08-11T16:20:57.710321,3,Cognitio Labs,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/cognitio-labs
2026-08-11T16:20:57.710327,55,Langdock,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/langdock
2026-08-11T16:20:57.710333,15,Decoda Health,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/decoda-health
2026-08-11T16:20:57.710338,8,Tempo,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/tempo-2
2026-08-11T16:20:57.710343,,Metoro,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/metoro
2026-08-11T16:20:57.710349,30,Giga,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/giga
2026-08-11T16:20:57.710354,8,Fiber AI,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/fiber-ai
2026-08-11T16:20:57.710360,2,Webhound,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/webhound
2026-08-11T16:20:57.710365,4,Health Harbor,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/health-harbor
2026-08-11T16:20:57.710370,4,Empirical Health,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/empirical-health
2026-08-11T16:20:57.710376,7,Subsets,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/subsets
2026-08-11T16:20:57.710381,45,VetRec,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/vetrec
2026-08-11T16:20:57.710387,3,Talc,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/talc
2026-08-11T16:20:57.710392,4,Docsum,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/docsum
2026-08-11T16:20:57.710397,8,Serra,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/serra
2026-08-11T16:20:57.710403,5,Cedana,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/cedana
2026-08-11T16:20:57.710408,4,Kino AI,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/kino-ai
